ID,RSSI,station,distance
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-52,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-56,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-52,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-61,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-53,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-55,1,4.5
Haylou GT1 XR,-54,1,4.5
Haylou GT1 XR,-56,1,5
Haylou GT1 XR,-65,1,5
Haylou GT1 XR,-56,1,5
Haylou GT1 XR,-63,1,5
Haylou GT1 XR,-63,1,5
Haylou GT1 XR,-70,1,5
Haylou GT1 XR,-66,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-56,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-65,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-68,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-68,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-59,1,5
Haylou GT1 XR,-59,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-66,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-79,1,5
Haylou GT1 XR,-59,1,5
Haylou GT1 XR,-66,1,5
Haylou GT1 XR,-68,1,5
Haylou GT1 XR,-71,1,5
Haylou GT1 XR,-70,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-58,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-71,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-69,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-57,1,5
Haylou GT1 XR,-58,1,5
